model,package,run,runLabel,mutationScore,nrSurvived,equivRatePct,costPerSurvivor,costPerNonEquivSurvivor,medianCandidates
anthropic_claude-haiku-4.5,Complex.js,1,run1,55.38,261,11.1111,0.005884647509578545,0.006620228448275863,301
anthropic_claude-haiku-4.5,countries-and-timezones,1,run1,79.64,34,50,0.0068450588235294115,0.013690117647058823,301
anthropic_claude-haiku-4.5,node-jsonfile,1,run1,67.65,44,22.7273,0.0031440681818181815,0.0040687941176470585,301
anthropic_claude-haiku-4.5,pull-stream,1,run1,62.84,230,3.0435,0.0027267478260869565,0.002812340807174888,301
anthropic_claude-haiku-4.5,spacl-core,1,run1,86.98,22,42.8571,0.014688727272727272,0.024857846153846154,301
anthropic_claude-haiku-4.5,zip-a-folder,1,run1,97.5,2,0,0.0715935,0.0715935,301
anthropic_claude-sonnet-4.5,Complex.js,1,run1,55.96,355,12.4654,0.0129791661971831,0.01486323870967742,315.5
anthropic_claude-sonnet-4.5,countries-and-timezones,1,run1,82.05,42,37.5,0.016397285714285715,0.025506888888888888,315.5
anthropic_claude-sonnet-4.5,node-jsonfile,1,run1,75.44,42,33.3333,0.00942957142857143,0.014144357142857143,315.5
anthropic_claude-sonnet-4.5,pull-stream,1,run1,68.61,247,1.25,0.007502817813765182,0.007595065573770492,315.5
anthropic_claude-sonnet-4.5,spacl-core,1,run1,93.04,16,41.1765,0.0599169375,0.106519,315.5
anthropic_claude-sonnet-4.5,zip-a-folder,1,run1,95.61,5,0,0.0853782,0.0853782,315.5
deepseek_deepseek-chat-v3.1,Complex.js,1,run1,54.79,500,12.7202,0.0005047406799999999,0.0005801617011494252,337.5
deepseek_deepseek-chat-v3.1,countries-and-timezones,1,run1,82.76,45,48.9362,0.0008169015555555555,0.001670935,337.5
deepseek_deepseek-chat-v3.1,node-jsonfile,1,run1,80.11,35,27.2727,0.0006016317142857144,0.0008098888461538464,337.5
deepseek_deepseek-chat-v3.1,pull-stream,1,run1,65.98,282,1.0033,0.00034099819148936166,0.0003446648387096774,337.5
deepseek_deepseek-chat-v3.1,spacl-core,1,run1,83.33,40,54.2857,0.0012929929999999999,0.0024628438095238092,337.5
deepseek_deepseek-chat-v3.1,zip-a-folder,1,run1,95.83,5,0,0.004490719999999999,0.004490719999999999,337.5
google_gemini-3.1-flash-lite,Complex.js,1,run1,57.01,491,15.2749,0,0,343
google_gemini-3.1-flash-lite,countries-and-timezones,1,run1,88,30,36.6667,0,0,343
google_gemini-3.1-flash-lite,node-jsonfile,1,run1,77.5,36,22.2222,0,0,343
google_gemini-3.1-flash-lite,pull-stream,1,run1,68.11,258,2.7132,0,0,343
google_gemini-3.1-flash-lite,spacl-core,1,run1,84.62,38,51.5152,0,0,343
google_gemini-3.1-flash-lite,zip-a-folder,1,run1,94.02,7,0,0,0,343
meta-llama_llama-3.1-8b-instruct,Complex.js,1,run1,63.8,408,1.7157,0.000047927671568627454,0.000048764314214463845,353.5
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,1,run1,80,47,31.9149,0.00005341446808510638,0.0000784525,353.5
meta-llama_llama-3.1-8b-instruct,node-jsonfile,1,run1,73.58,42,16.6667,0.000034856428571428576,0.000041827714285714294,353.5
meta-llama_llama-3.1-8b-instruct,pull-stream,1,run1,69.69,227,2.2026,0.000026923039647577094,0.000027529414414414416,353.5
meta-llama_llama-3.1-8b-instruct,spacl-core,1,run1,86.32,32,50,0.00012004593750000001,0.00024009187500000003,353.5
meta-llama_llama-3.1-8b-instruct,zip-a-folder,1,run1,95,5,0,0.000340598,0.000340598,353.5
meta-llama_llama-3.3-70b-instruct,Complex.js,1,run1,62.01,438,8.8106,0.00025209342465753423,0.0002774294472361809,349
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,1,run1,83.21,45,50,0.0003364426666666667,0.0005607377777777778,349
meta-llama_llama-3.3-70b-instruct,node-jsonfile,1,run1,75.44,42,26,0.00021406761904761904,0.00031002896551724136,349
meta-llama_llama-3.3-70b-instruct,pull-stream,1,run1,67.25,262,3.3708,0.0001490754961832061,0.00015437857707509883,349
meta-llama_llama-3.3-70b-instruct,spacl-core,1,run1,87.9,30,43.75,0.0007406013333333334,0.0013886275,349
meta-llama_llama-3.3-70b-instruct,zip-a-folder,1,run1,94.74,6,0,0.001623556666666667,0.001623556666666667,349
openai_gpt-4o-mini,Complex.js,1,run1,62.63,398,6.3725,0.000441968216080402,0.00047285846774193545,347.5
openai_gpt-4o-mini,countries-and-timezones,1,run1,86.16,31,64.2857,0.0008227596774193549,0.0063763875000000005,347.5
openai_gpt-4o-mini,node-jsonfile,1,run1,80.77,30,17.8571,0.0005063099999999999,0.000607572,347.5
openai_gpt-4o-mini,pull-stream,1,run1,68,240,1.2397,0.000283010625,0.00028659303797468354,347.5
openai_gpt-4o-mini,spacl-core,1,run1,90.71,21,50,0.001739357142857143,0.003043875,347.5
openai_gpt-4o-mini,zip-a-folder,1,run1,94.79,5,0,0.00316971,0.00316971,347.5
openai_gpt-4o,Complex.js,1,run1,59.83,482,12.2407,0,0,347.5
openai_gpt-4o,countries-and-timezones,1,run1,87.26,33,36.3636,0,0,347.5
openai_gpt-4o,node-jsonfile,1,run1,73.89,41,21.9512,0,0,347.5
openai_gpt-4o,pull-stream,1,run1,65.95,268,2.2388,0,0,347.5
openai_gpt-4o,spacl-core,1,run1,89.24,27,32,0,0,347.5
openai_gpt-4o,zip-a-folder,1,run1,95.76,5,0,0,0,347.5
qwen_qwen-2.5-coder-32b-instruct,Complex.js,1,run1,62.97,404,8.6634,0.0015272544554455448,0.0016721159891598919,338.5
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,1,run1,92.64,19,36.8421,0.004028068421052631,0.006377775,338.5
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,1,run1,84.44,28,21.4286,0.0015731814285714287,0.002002230909090909,338.5
qwen_qwen-2.5-coder-32b-instruct,pull-stream,1,run1,70.21,247,0.8097,0.0007376398380566803,0.0007436613877551022,338.5
qwen_qwen-2.5-coder-32b-instruct,spacl-core,1,run1,94.98,12,54.5455,0.009729445,0.01945889,338.5
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,1,run1,95.5,5,0,0.010553276,0.010553276,338.5
